iter	Passed	Remaining
405	6418	9390
406	6433	9373
407	6449	9358
408	6465	9342
409	6479	9324
410	6493	9305
411	6504	9283
412	6521	9269
413	6535	9250
414	6552	9236
415	6568	9220
416	6583	9204
417	6598	9187
418	6614	9172
419	6630	9156
420	6645	9139
421	6659	9121
422	6672	9101
423	6688	9086
424	6700	9065
425	6721	9057
426	6735	9038
427	6751	9022
428	6765	9005
429	6786	8996
430	6798	8975
431	6815	8960
432	6829	8943
433	6845	8927
434	6860	8911
435	6878	8898
436	6893	8881
437	6910	8867
438	6926	8851
439	6943	8836
440	6958	8820
441	6973	8803
442	6987	8785
443	7000	8765
444	7017	8751
445	7030	8732
446	7046	8717
447	7061	8700
448	7077	8684
449	7094	8670
450	7110	8655
451	7125	8639
452	7143	8625
453	7158	8609
454	7174	8594
455	7192	8579
456	7208	8565
457	7223	8547
458	7240	8534
459	7255	8517
460	7271	8501
461	7286	8485
462	7299	8466
463	7315	8450
464	7326	8429
465	7343	8415
466	7357	8397
467	7374	8382
468	7388	8365
469	7406	8352
470	7421	8335
471	7438	8320
472	7453	8304
473	7468	8288
474	7485	8273
475	7504	8261
476	7519	8244
477	7537	8230
478	7553	8215
479	7570	8200
480	7585	8184
481	7600	8167
482	7616	8152
483	7631	8135
484	7646	8119
485	7660	8101
486	7676	8086
487	7687	8065
488	7703	8050
489	7719	8034
490	7735	8019
491	7750	8002
492	7766	7986
493	7782	7971
494	7796	7953
495	7810	7936
496	7821	7915
497	7838	7901
498	7852	7883
499	7867	7867
500	7881	7850
501	7897	7834
502	7914	7820
503	7931	7805
504	7945	7788
505	7959	7770
506	7972	7752
507	7984	7732
508	7999	7716
509	8013	7699
510	8029	7684
511	8046	7668
512	8062	7653
513	8077	7637
514	8092	7621
515	8106	7603
516	8118	7584
517	8133	7567
518	8149	7552
519	8165	7537
520	8179	7520
521	8196	7505
522	8211	7489
523	8226	7472
524	8241	7456
525	8257	7440
526	8271	7424
527	8284	7406
528	8300	7390
529	8312	7371
530	8330	7357
531	8344	7340
532	8362	7326
533	8377	7310
534	8393	7295
535	8407	7278
536	8422	7262
537	8437	7245
538	8450	7227
539	8465	7211
540	8477	7192
541	8493	7177
542	8508	7161
543	8526	7146
544	8541	7130
545	8557	7115
546	8573	7100
547	8589	7085
548	8604	7068
549	8620	7052
550	8635	7036
551	8649	7019
552	8663	7002
553	8679	6987
554	8695	6972
555	8708	6954
556	8728	6942
557	8741	6924
558	8758	6909
559	8773	6893
560	8790	6878
561	8804	6862
562	8820	6846
563	8834	6829
564	8852	6815
565	8867	6799
566	8891	6789
567	8905	6773
568	8924	6760
569	8938	6743
570	8953	6727
571	8969	6711
572	8986	6696
573	9001	6680
574	9017	6665
575	9032	6649
576	9049	6634
577	9065	6618
578	9082	6603
579	9097	6587
580	9113	6572
581	9130	6557
582	9146	6542
583	9162	6526
584	9181	6513
585	9197	6497
586	9212	6481
587	9228	6466
588	9244	6451
589	9261	6436
590	9276	6419
591	9291	6403
592	9304	6385
593	9317	6368
594	9332	6352
595	9351	6338
596	9364	6321
597	9381	6306
598	9397	6291
599	9412	6275
600	9427	6258
601	9442	6242
602	9458	6227
603	9473	6211
604	9489	6195
605	9501	6177
606	9518	6162
607	9533	6146
608	9546	6129
609	9562	6113
610	9578	6098
611	9593	6082
612	9610	6067
613	9626	6051
614	9642	6036
615	9657	6020
616	9673	6004
617	9690	5989
618	9705	5973
619	9722	5959
620	9739	5944
621	9753	5927
622	9766	5910
623	9783	5895
624	9794	5876
625	9810	5861
626	9826	5845
627	9840	5828
628	9856	5813
629	9872	5797
630	9886	5781
631	9901	5765
632	9916	5749
633	9932	5733
634	9946	5716
635	9957	5698
636	9973	5683
637	9987	5666
638	10001	5650
639	10014	5633
640	10029	5616
641	10041	5599
642	10055	5582
643	10070	5567
644	10084	5550
645	10099	5534
646	10114	5518
647	10128	5501
648	10141	5484
649	10153	5467
650	10170	5452
651	10183	5435
652	10197	5418
653	10213	5403
654	10228	5387
655	10241	5370
656	10253	5352
657	10269	5337
658	10283	5321
659	10297	5304
660	10313	5289
661	10328	5273
662	10342	5256
663	10353	5239
664	10369	5223
665	10383	5207
666	10399	5192
667	10414	5176
668	10430	5160
669	10448	5146
670	10466	5131
671	10481	5115
672	10496	5100
673	10512	5084
674	10528	5069
675	10544	5054
676	10560	5038
677	10575	5022
