iter	Logloss
0	0.6261191462
1	0.5659442634
2	0.5170676061
3	0.4768683038
4	0.4401127923
5	0.4109422173
6	0.3876535115
7	0.3667643913
8	0.3489254076
9	0.3339583462
10	0.3186807181
11	0.3069680364
12	0.2961075701
13	0.2872672618
14	0.2762734223
15	0.2687738887
16	0.2624146907
17	0.2550440648
18	0.2490948998
19	0.244263417
20	0.2395442789
21	0.2346820543
22	0.2309260492
23	0.2273946175
24	0.2235724878
25	0.2201381775
26	0.217823528
27	0.215604539
28	0.2129026857
29	0.2106737649
30	0.2085781962
31	0.2067626264
32	0.2044199301
33	0.2024992866
34	0.2007100981
35	0.1991678022
36	0.1977709
37	0.1967423381
38	0.1951705611
39	0.1941110061
40	0.1926601496
41	0.1918392507
42	0.1908044238
43	0.1896306867
44	0.1888891453
45	0.1876771457
46	0.1866871161
47	0.1854775758
48	0.1845179999
49	0.1835543953
50	0.1826512951
51	0.1814995375
52	0.1806819169
53	0.1798278022
54	0.1790770135
55	0.17827699
56	0.1778358217
57	0.1770901348
58	0.1766139649
59	0.1761820999
60	0.1755783394
61	0.175151297
62	0.1747622926
63	0.1737176886
64	0.1730125986
65	0.1725341754
66	0.1717065861
67	0.1708751956
68	0.1703045745
69	0.1697229506
70	0.1691888488
71	0.1688858829
72	0.1684425955
73	0.1680232009
74	0.1673279305
75	0.1669130961
76	0.1664760413
77	0.1659974888
78	0.1657061151
79	0.165118523
80	0.1645762368
81	0.1638993456
82	0.16356947
83	0.1629864808
84	0.162591552
85	0.1620416429
86	0.1615027772
87	0.1610467272
88	0.1605717134
89	0.1601069057
90	0.1597322469
91	0.159286696
92	0.1589741981
93	0.1585426555
94	0.1582314634
95	0.1580766146
96	0.1576849644
97	0.1574778876
98	0.1568930861
99	0.1565434966
100	0.156117754
101	0.1555711223
102	0.1552624232
103	0.1548839225
104	0.1544736033
105	0.1541267194
106	0.153636988
107	0.1532427342
108	0.1527982735
109	0.1524663793
110	0.1521131598
111	0.1517134932
112	0.1513835744
113	0.1507884264
114	0.1506033417
115	0.1503740271
116	0.1498153231
117	0.1494260866
118	0.1491674353
119	0.1488695518
120	0.1485179871
121	0.1483196755
122	0.1480554113
123	0.1476129489
124	0.1474468367
125	0.1471259466
126	0.1469171145
127	0.1464143816
128	0.1459802328
129	0.1455982816
130	0.1453722915
131	0.1451237365
132	0.1448744867
133	0.144659825
134	0.1444326276
135	0.1441917824
136	0.143999846
137	0.143705841
138	0.1434095235
139	0.1430317071
140	0.1426227726
141	0.1424089737
142	0.1420882972
143	0.1418240702
144	0.1415898888
145	0.1413160421
146	0.1412002264
147	0.1408012464
148	0.1404566424
149	0.1402222567
150	0.1400738277
151	0.1397694096
152	0.1394824363
153	0.1393504498
154	0.1392029149
155	0.1389479044
156	0.1386778023
157	0.1384568006
158	0.1382029694
159	0.1379186691
160	0.1377037507
161	0.1376096214
162	0.1375413353
163	0.1372196356
164	0.1370709781
165	0.1368524118
166	0.1365936582
167	0.136364104
168	0.1361061925
169	0.135835776
170	0.1355861171
171	0.1352795144
172	0.134942267
173	0.134766312
174	0.1345620824
175	0.1343303951
176	0.1340361872
177	0.1339258423
178	0.1336720968
179	0.1335103314
180	0.1333621276
181	0.1330621777
